post,is_stress,stress_kind
The Covid-19 pandemic,1,Emotional Turmoil
The COVID-19 pandemic and not working because of it.,1,Other
The COVID-19 Pandemic conditions seem to be worsening.,1,Other
The COVID-19 pandemic is really stressing me out. My state should do a full lockdown.,1,"Health, Fatigue, or Physical Pain"
The Covid-19 pandemic. I think a man who lives across the hall from me might have it.,1,Social Relationships
the covid-19 pandimic,1,"Health, Fatigue, or Physical Pain"
"The COVID-19 situation has been hard, especially with transitioning to online classes",1,School
The COVID-19 situation has really been stressing me out!,1,"Health, Fatigue, or Physical Pain"
The covid19 situation is stressing me out. I can't find toilet paper. We all lost jobs.,1,Financial Problem
"The covid-19 situation.  My job hours got cut, and I'm worried about contracting it.",1,Financial Problem
The COVID-19 stuff is pretty stressful.  Not really sure what to make of it all.,1,Other
The covid-19 virus,1,Emotional Turmoil
The Covid-19 Virus affecting our world where we can't go outside.,1,Financial Problem
The COVID-19 virus and the effect it's had on my life.,1,Emotional Turmoil
The covid19 virus shutting down our production,1,Work
The craziness surrounding the coronavirus and not knowing what's going to happen,1,Other
the crazy people i have to deal with everyday,1,Work
THE CURRENT CORONA VIRUS AND THE ECONOMIC IMPACT,1,Financial Problem
The current health situation.,1,Financial Problem
The current healthcare situation COVID-19,1,"Health, Fatigue, or Physical Pain"
The current pandemic and how much its discussed on the news,1,"Health, Fatigue, or Physical Pain"
The current pandemic that is going on.,1,Emotional Turmoil
The current state of the world,1,Financial Problem
The current worldwide situation with covid-19,1,Other
The currently going corona virus situation.,1,Financial Problem
"the damn workload i have, and the deadlines.",1,Work
the dealer i bought my van from registered it as a commercial vehicle against my wishes,1,Other
The economy and the recent events about the corona virus,1,Everyday Decision Making
The economy has been stressing me out lately.,1,Financial Problem
the fact i have several bills that are due almost at the same time and it's worrying me!,1,Financial Problem
the fact i have to stay inside alot,1,Family Issues
the fact that i am tired all the time and they don't know why.,1,"Health, Fatigue, or Physical Pain"
the fact that I have been laid off due to the coronavirus with no prospects,1,Financial Problem
The fact that I have online classes and not in class lectures,1,School
The fact that I'm on trial for video voyeurism,1,Other
The fact that school is out.,1,School
The fact that the Coronavirus has left me without work.,1,Financial Problem
The fact that we are out of work because of Corona,1,Financial Problem
the fact that we just opened a new shop for the business and there's still bugs that nee,1,Work
the final results of a court case involving my grand kids.,1,Family Issues
The global pandemic has been at the top of my stressors.,1,Emotional Turmoil
The global pandemic has been stressing me out.,1,"Health, Fatigue, or Physical Pain"
The global pandemic involving the coronavirus has been stressing me out.,1,"Health, Fatigue, or Physical Pain"
the grading system for my classes this semester is really harsh.,1,School
"The grocery store has become stressful lately,  the lines first then empty shelves",1,Other
The grocery store is out of a lot of the items I need to purchase.,1,Everyday Decision Making
The health pandemic that is effecting everyone. To health and financial its horrible.,1,"Health, Fatigue, or Physical Pain"
the holiday dinner and my family fighting over time and location.,1,Family Issues
the holidays are coming up,1,Other
the holidays coming up lol you?,1,Other
The house is such a mess.,1,Everyday Decision Making
the impeachment hearings are stressing me out.  i am mostly stressed out how mean people,1,Other
the insecurity of not having an adequate income.,1,Financial Problem
The kids being home all the time. Everyone being hone all day is driving each other craz,1,Family Issues
the kids being home from school for winter break,1,Other
the kids have been behaving badly,1,Family Issues
the lack of leadership at work.,1,Work
the lack of qualified clients.,1,Work
the lack of rapport with my co-worker since our falling out and or disagreement.,1,Work
The latest flu.,1,"Health, Fatigue, or Physical Pain"
the lisd said they would find alternative placement for abie and i havent heard from th,1,Family Issues
the lost of my job,1,Financial Problem
the main thing is my boss' inconsistency in telling us what to do.,1,Work
the man in my life!,0,Emotional Turmoil
the management at work is causing a lot of stress on me.,1,Work
the management of my work place insults my new idea about a project,1,Work
the managers at the bakery are treating me unfairly after i helped open it.,1,Work
the money i need for my mortgage closing,1,Financial Problem
the most recent situation stressing me has been my job,1,Work
the most recent thing that has been stressing me out would have to be school,1,School
the most stressful thing in my life is usually work related.,1,Work
the mother fucking military,1,Work
the need to move out of state.,1,Family Issues
the new assistant at the lab is not really helpful,1,Work
the new star wars movie doesn't look good at all.,0,Emotional Turmoil
the only reason i have a place to stay is because of my friend.,1,Financial Problem
the other day i messed something up at work and it sucked,1,Work
the overwhelming thought of being at home during COVID-19,1,Financial Problem
The pandemic,1,Other
the pandemic and work,1,Work
The pandemic in the world,1,Other
The pandemic is causing me a great deal of stress.,1,"Health, Fatigue, or Physical Pain"
The pandemic situation of covid-19 is really stressing me out. i cant go out,1,Everyday Decision Making
"The pandemic, hoarding, stupidity of people",1,Other
"The pandemic, it is making me very anxious",1,"Health, Fatigue, or Physical Pain"
the paper i need to write before school semester ends this year.,1,School
"the political situation in america is pretty stressful, i can't wait until november 2020",1,"Health, Fatigue, or Physical Pain"
the political situation right now.,1,Other
the postdoc in my lab is creepy,1,Social Relationships
the ppl at work are driving me nuts,1,Work
The projection of the Coronavirus on the U.S. and the world. I need to work.,1,Financial Problem
The punk Postmaster (33 years old) making more than twice my wages and just sitting!,1,Work
THE RAPID SPREAD OF CORONOVIRUS,1,Other
The recent coronavirus outbreak is stressing me out.,1,"Health, Fatigue, or Physical Pain"
The recent COVID-19 situation is stressing me out.,1,Other
The recent outbreak of COVID-19 has put a lot of stress on me. I'm not sure what to do.,1,Other
the recent situation stressing me is my finances.,1,Financial Problem
"the recent talks of war and conflict, and the economic turmoil from that.",1,"Health, Fatigue, or Physical Pain"
the recent things that have been stressing about is moving.,1,Financial Problem
the recent things that have been stressing me out is my health and the health of my fami,1,"Health, Fatigue, or Physical Pain"
The relationship stuff going on with Nathan.,1,Social Relationships
the sale of my house is making lose sleep.,1,Emotional Turmoil
the shelter in place,1,Other
The shelves being empty and not being able to find things we need because of coronaviru.,1,Other
the shooting that happened today,1,"Health, Fatigue, or Physical Pain"
"The shutdown is stressing me out, it has changed my school and work schedule.",1,Work
the situation about the coronavirous,1,Other
The situation i been stressing out about is the COVID-19 virus,1,"Health, Fatigue, or Physical Pain"
the situation in the middle east. im worried about my husband potentially being deploy.,1,Emotional Turmoil
THE SITUATION OF A LOT OF PEOPLE BECOMING SICK ALL AROUND THE WORLD AND ME FINDING THE M,1,Financial Problem
the situation that has been stressing me out is work it's crazy,1,Work
The situation that the world is in now with this Covid 19 virus running rampant.,1,"Health, Fatigue, or Physical Pain"
The situation with coronavirus has been very stressful lately.,1,"Health, Fatigue, or Physical Pain"
the situation with iran had me stressed out the other day.,1,Other
The spread of covid-19 is crazy,1,"Health, Fatigue, or Physical Pain"
The spread of the coronavirus is really scary.,1,"Health, Fatigue, or Physical Pain"
the state of our country,1,Other
The stay at home order due to covid 19 virus,1,Other
The stupid COVID outbreak,1,Work
the stupid problems at work. a lot going on. it's so fast paced. i'm not sure i'll make,1,Other
the stupid virus and the people around me who do not take this serious!,1,Emotional Turmoil
the teacher didn' want to receive my homework because i was 3 minutes late to his class,1,School
the thing that stressed me out the most has been my follow up doctor's appointment,1,"Health, Fatigue, or Physical Pain"
the things that has been stressing me out is trying to be able to live on my own.,1,Emotional Turmoil
the traffic was so bad.,1,Other
the trump corruption and impeachment with new controversies every day is exhausting,1,Other
The uncertainty about my workload over the next couple months is stressing me out.,1,Work
the uncertainty of my relationship is stressing me out.,1,Emotional Turmoil
The uncertainty of the current global crisis has me deeply concerned.,1,Other
The uncertainty of when work for school is due.,1,School
the upcoming spring college semester.,1,School
"the usual kids, husband's job, and house",1,Family Issues
"the usual, family work, my health",1,"Health, Fatigue, or Physical Pain"
"the usual, kids, doctors, money, too much of everything.",1,Family Issues
The virus going around,1,"Health, Fatigue, or Physical Pain"
"The virus has been on my mind quite a bit, but not too stressful!",1,Other
the virus has been stressing me out!,1,"Health, Fatigue, or Physical Pain"
The virus outbreak and aftermath have made it hard to find another job.,1,Work
The virus situation is way out of hand.,1,Financial Problem
"The virus situation, I'm not sure when I'll be able to work again",1,Financial Problem
The virus spreading the world,1,Other
The virus that is spreading.,1,"Health, Fatigue, or Physical Pain"
the washing machine is broken and i'm really behind on laundry.,1,Everyday Decision Making
the weather is crazy,1,Other
the whole  corona  situation stresses me,1,"Health, Fatigue, or Physical Pain"
the whole covid 19 situation,1,Work
The whole COVID-19 thing,1,Other
the whole decision to leave my job in six months.,1,Work
The whole world right now. Covid Politics,1,Other
The work here is overwhelming,1,Work
THE WORK LOAD HAS GROWN significantly,1,Work
The world as it is right now.,1,Other
The world is involved in a global pandemic and we have been told to isolate ourselves,1,"Health, Fatigue, or Physical Pain"
there are a few situations that are stressing me out.,1,Other
there are a lot of projects at work weighing on me,1,Work
there has been some passive-aggressive behavior from my boss.,1,Work
There have a lots of bad new on the television,1,Work
there is a coworker who is behaving rudely towards me at work.,1,Social Relationships
"there is a lot going on in the news about iran, i pray that our troops are safe.",1,Work
There is a pandemic and it is dangerous to leave the house.,1,Other
there is hardly any work at mechanical turk the past week.,1,Work
there is not enough coverage at work and i have been doing the work of 2,1,Work
there is not enough time in the day for both work and errands.,1,"Health, Fatigue, or Physical Pain"
there is not enough to do around here i am worried that i might lose my job,1,Work
theres a situation at work,1,Work
there's just a lot going on and i don't know what to do.,1,Emotional Turmoil
there's just so much going on at work.,1,Work
there's not enough time in the day for all i need to do.,1,Work
there's nothing to make for dinner and i'm starving.,1,Everyday Decision Making
there's the one guy who keeps calling the desk every few minutes all night.,1,Work
there's this thing going on at work...,1,Work
theres too many people and home and not enough space,1,Family Issues
there's too much to do at work and having the kids home from school is a pain,1,Work
these kids are driving me crazy,1,Emotional Turmoil
These kids drive me crazy and I need to get to the store,1,Everyday Decision Making
these people do not care about their workers. they do not want to pay us.,1,Work
They cut my hours at work,1,Work
they have predicted severe weather for today.,1,Other
Things are tight around here money wise and trying to get a job is difficult,1,Work
things at work has been getting a little crazy.,1,Work
Things at work have been hectic and this virus is crazy,1,Work
things just keep piling up politically.,1,Emotional Turmoil
things will work out,0,Emotional Turmoil
things with my kids have been hard,1,Family Issues
things with work have been stressing me out,1,Work
thinking about the holidays and getting together with family,1,Family Issues
thinking about this new move that is coming up.,1,Everyday Decision Making
thinking about work i should be doing,1,Work
this bumper to bumper traffic is driving me nuts. will it ever move?,1,Work
This caronavirus that is affecting America,1,"Health, Fatigue, or Physical Pain"
this conversation. why are you asking me this,0,Social Relationships
this corona virus has really stressed me out. im sick of not working.,1,Other
This corona virus pandemic has been stressing me out.,1,Other
This corona virus thing has me worried sick,1,"Health, Fatigue, or Physical Pain"
This corona virus thing is so crazy! How are you and the family holding up?,1,"Health, Fatigue, or Physical Pain"
"This corona virus, with the kids being out of school.  We are now going onto our 3 week.",1,School
this coronavirus has cut my hours at work and I'm going crazy staying home,1,Work
"This coronavirus is freaking me out, man.  I am very scared.",1,Emotional Turmoil
This coronavirus is kind of stressful because you never know how long it's going to last,1,Emotional Turmoil
This coronavirus lockdown and scare has me somewhat stressed out.,1,Other
This coronavirus might wipe out the human race!,1,"Health, Fatigue, or Physical Pain"
This coronavirus outbreak and having to leave work has me stressed out.,1,Work
This coronavirus pandemic has been driving me crazy,1,Emotional Turmoil
This Coronavirus thing has really got me worried.,1,Other
"This coronavirus. I mean, how long will it last? What do I do?",1,Other
This coronovirus pandemic and all these jobs that are being lost. It's scary !,1,Financial Problem
"This COVID bullshit, man",1,Other
This COVID mess in the world,1,"Health, Fatigue, or Physical Pain"
This COVID-19 is stressing me because of the amount of people who are infected.,1,Other
This Covid19 pandemic is stressing me out with the kids being home from school,1,Social Relationships
This COVID-19 shutdown is really making life difficult.,1,Everyday Decision Making
This damn COVID 19!,1,"Health, Fatigue, or Physical Pain"
this dang corona virus has me stressed,1,Financial Problem
This goddamn quarrantine man.,1,Work
this house remodel. it's a lot to take on alone,1,Everyday Decision Making
this is thing at work...,1,Work
This issue about Covid-19 is very stressful to me!,1,Everyday Decision Making
this job hunt is killing me man.,1,Work
this morning was stressful my son wouldn't listen. he ended up being late to school eff!,1,Family Issues
this osha audit has me wanting to scream.,1,Work
this overseas move and trying to figure out how we will move the dogs.,1,Financial Problem
this person i work with is driving me crazy.,1,Social Relationships
this problem at work has been driving me crazy if you have a minute,1,Work
this project that im working on,0,Work
This quarantine is stressing me out.,1,Social Relationships
this stupid girl that likes my boyfriend has been stressing me out,1,Emotional Turmoil
this supervisor is getting on my last nerve!,1,Work
This virus is stressing me out.,1,"Health, Fatigue, or Physical Pain"
This virus is stripping away all my freedom and it's driving me insane.,1,Other
This virus isolation thing,1,"Health, Fatigue, or Physical Pain"
This virus that's going around.  Finding an apartment is hard.  Everything Is expensive,1,Financial Problem
This whole Corona Virus and self quarentine at home situation plaus no work is stressful,1,Financial Problem
This whole Corona Virus situation!,1,Other
This whole corona virus thing has me pretty stressed,1,"Health, Fatigue, or Physical Pain"
"This whole coronavirus mess is stressing me out, not sure whats going to happen",1,Other
"This whole Coronavirus pandemic is stressing me out, I lost my job.",1,Work
This whole coronavirus sitation.,1,Work
This whole Coronavirus thing and being forced to go to work has me very stressed.,1,Work
This whole coronavirus thing.,1,"Health, Fatigue, or Physical Pain"
This whole COVID thing really sucks!,1,Emotional Turmoil
This whole COVID thing. I can't do anything right now!,1,Emotional Turmoil
this whole ivf proces,1,Other
This whole pandemic crisis is stressful and very concerning,1,"Health, Fatigue, or Physical Pain"
This whole stay at home got me f'd up man,1,Other
This whole thing with the coronavirus. The unknonwn and people dying.,1,Other
this whole virus thing,1,Other
tim has been working late,1,Family Issues
time management,1,Work
"Tired of work, been trying to leave my job.",1,Work
tires,1,"Health, Fatigue, or Physical Pain"
Today has been rough with my kids fighting back and forth.,1,Family Issues
today i suddenly facing a road accident.,1,Financial Problem
todd and i are both miserable and i know know how to fix our relationship.,1,Emotional Turmoil
too many interruptions all day,1,Other
too many tasks at work,1,Work
too many unexpected and unavoidable expenses this past week.,1,Financial Problem
too much paperwork interfering with actual work,1,Work
too much to do around the house and not enough time,1,Other
"too much to do in general, too busy",1,Everyday Decision Making
too much work time not enough me time,1,Work
too much work to do,1,Work
totally mood off . make a plan to relax and lets relax together,0,Emotional Turmoil
traffic!,1,Work
travel,0,Work
trip to reno,0,Work
trump trying to start ww3,1,Other
trump's trade war,1,Work
try to forget about it temporarily and i will pick you up in 10 minutes.,0,Emotional Turmoil
trying to afford all these christmas presents.,1,Financial Problem
"Trying to balance my work with the house and kids, plus my husband being home",1,Family Issues
"Trying to be a teacher, parent, and girl friend is stressful!",1,Family Issues
trying to beat my addiction that i been battling for 4 years very hard to beat,1,Emotional Turmoil
trying to best discipline my children.,1,Family Issues
Trying to buy groceries yet avoid people.,1,Everyday Decision Making
trying to catch up on my school work and work full-time,1,School
trying to communicate with my wife,1,Emotional Turmoil
trying to divorce as soon as possible,1,Emotional Turmoil
trying to earn a little extra cash to pay bills.,1,Financial Problem
trying to figure out a budget for the month.,1,Financial Problem
trying to figure out how to grow my business.,1,Work
Trying to figure out how to make ends meet,1,Financial Problem
trying to figure out what's for dinner .,0,Social Relationships
trying to find a better job,1,Work
trying to find a job,1,Work
trying to find a new job is hard. bills do not stop.,1,Financial Problem
Trying to find a new roommate.,1,Other
trying to find a simple part time job is stressing me out.,1,Work
trying to find more clients to support the business so i can afford my own place.,1,Financial Problem
trying to get a raise,1,Work
Trying to get a Refund $79.93  from hughesnet - hughesnet has been blocking it.,1,Financial Problem
Trying to get Easton to do more school work and less wanting to play!,1,School
trying to get everyone where they need to be on time.,1,Emotional Turmoil
"trying to get into a position at work so i can advance, but having a hard time.",1,Work
trying to get my work finished so i can go home/,1,Work
trying to get my youtube channel up and running.,1,Work
trying to get this house set up,1,Emotional Turmoil
trying to get this work from home thing going and not going as quickly. .,1,Work
Trying to homeschool my son is really stressing me out,1,Family Issues
trying to keep a roof over our heads,1,Financial Problem
trying to keep up and pay down my credit card debts.,1,Financial Problem
trying to keep up with my research schedule.,1,School
trying to make everyone happy at work.,1,Work
trying to make more money has me stressed out.,1,Financial Problem
trying to make the extra money for xmas gifts,1,Other
trying to manage my debt,1,Financial Problem
trying to mesh two households: mine and my senior mom who we will be taking care of.,1,Family Issues
trying to pay off my debt,1,Financial Problem
trying to pay off my student loan debt,1,Financial Problem
trying to save for a down payment on a house,1,Financial Problem
"trying to speed up at work, especially with tires.",1,Work
trying to stay above water in bills,1,Financial Problem
trying to teach and work from home is more work. It sucks.,1,Work
tryiong to figure out how to make more money to support my family,1,Financial Problem
two co workers did not show up and that left us very shorthanded.,1,Work
typing this answer to you,0,Work
ugh im fucking stressed,1,Everyday Decision Making
ugh let me tell you,1,Family Issues
ugh life has been stressful lately,1,Family Issues
ugh paying my medical bills for this month,1,Financial Problem
"ugh, just work stress. maybe will help to sleep on it.",1,Work
"ugh, lately work has been pissing me off.  like, why does such a simple job have to suck",1,Work
"ugh, my boss and entire team is changing.",1,Work
"ugh, work really sucks right now.  i'm so stressed out.",1,Work
"ugh.  it's so slow at work, so i'm not making much money.",1,Work
ugh. lots of stuff. work has been rough. boss is being a jerk.,1,Work
Ughhh....the people I have been working with!,1,Work
UM WELL THE MAUJOR CANT DECIDE WEATHER  OGDEN CITY WILL GO ON LOCKE DOWN OR NOT THTAS ST,1,Social Relationships
uncertainty at work has stressed me out lately,1,Work
Uncertainty of the future of my current position at work.,1,Work
upcoming court hearing is stressing me out,1,Emotional Turmoil
upcoming exams for school is stressing me out.,1,School
upcoming follow up visit to doctors,1,"Health, Fatigue, or Physical Pain"
upcoming trip,1,Other
Upper management just won't listen to my ideas to make things better.,1,Work
upset today. tell me something to relax,1,Emotional Turmoil
very stress,1,"Health, Fatigue, or Physical Pain"
very upset. need to relax,1,Family Issues
waiting on hip replacement surgery for a year has really stressed me out,1,"Health, Fatigue, or Physical Pain"
way too much overtime,1,"Health, Fatigue, or Physical Pain"
"we are being asked to record so much data, and no time to do it!",1,Work
we are having a difficult time financially.,1,Financial Problem
we are not in good terms wish my dad since last week.,1,Family Issues
we are short staffed at work.,1,Work
we don't have enough money to fix the house.,1,Financial Problem
we got a new guy at work and he is not experienced at all,1,Work
we have been really short-staffed at work recently.,1,Work
we have been stressing over how we will pay our phone bill next week,1,Financial Problem
we have been struggling paying our bills so much that i can not even go to the doctor,1,Financial Problem
we have some big changes going on at work with our email and it is not going very well.,1,Work
We havent left the house in 2 weeks,1,Other
we just bought a house and now i am stressing about moving.,1,Other
we just found out my dad has terminal brain cancer.,1,Family Issues
we might not get all the data entered by the deadline,1,Work
"we were so short staffed at work today, i didn't get a break at all.",1,Work
"well everything lol moming a toddler, being unemployed, and just life all around",1,Emotional Turmoil
well i am broke homeless and struggling with a bad habit,1,Financial Problem
Well i hate to ask a question with a question but why are you so damn emotional?,0,Other
well i just found out my soon to be exhusband just had another baby,1,Emotional Turmoil
Well i need a new car soon and it's going to be expensive.,1,Financial Problem
well i recently got by a truck and cnnot work.,1,"Health, Fatigue, or Physical Pain"
well i was at work and i been stressed out becuase theres alot of people coming at,1,Work
Well lately I have been unable to go to the grocery store as usual.,1,"Health, Fatigue, or Physical Pain"
"well my credit cards are ruining my credit, i need to pay them off to get a new place",1,Financial Problem
WELL OF COURSE IT WOULD ONLY BE THE CORONUS VIRUS SITUATION GOING ON. BEING SEPARATED FR,1,Other
well the stress of choosing what to eat. i wake up int the morning and find it difficult,1,Everyday Decision Making
Well this whole coronavirus thing is pretty stressful!,1,Other
well we are still trying to get funding before we don't make payroll,1,Work
Well you know my father who has dementia has entered a new stage with this disease.,1,Family Issues
"Well, at times, when I text my supposedly BFF in NY, I get very frustrated...",1,Social Relationships
"well, i applied for a master's degree and got denied :(",1,Other
"well, i have a bunch of tests for school coming up.",1,School
"well, i just took a test i did not study for.",1,School
"well, i tried getting my car to start, and it won't!",1,Work
"well, i will respond by saying dont stress everything will be alright and stay positive",0,Work
"Well, it has been difficult staying at home.",1,Family Issues
"Well, it's my work.  It has been so hectic lately due to deadlines.",1,Work
"well, money's been a little tight, but it'll be fine.  just a temporary issue.",1,Financial Problem
"Well, my research is not going well.",1,Work
"well, we're expecting a new baby soon so that will mean some adjusting for everyone.",1,Family Issues
"well, work has just been so frustrating lately. i just need to vent.",1,Work
"well, you know how busy the christmas season has been... so much to do!!",1,Other
well... my job is very stressful and i feel like i need to find a new one right away.,1,Work
"went to grocery for tgiving meal, and totally forgot turkey",1,Emotional Turmoil
we're broke!,1,Financial Problem
we're gearing up for a big move and there's so much to do!,1,Family Issues
We're on lockdown and my husband is overbearing.,1,Social Relationships
We're overloaded at work with a bunch of cases to file within a month.,1,Work
We've been stressing alot about school for the kids,1,School
we've been struggling financially for awhile.,1,Financial Problem
what a stressful day with my co-worker!  shes so annoying!,1,Work
what do you do with people who give you conflicting information or keep changing information?,1,Other
what do you mean?,0,Other
"What else, the Global Pandemic!",1,Other
what has stressed me out was trying to get a certain amount of turk done.,1,Work
What hasn't been stressing me out?,1,Everyday Decision Making
what hasn't? mostly a sick pet though. it hurts to see his pain.,1,"Health, Fatigue, or Physical Pain"
what i am going to cook for dinner and if i have enough time to cook the full meal,1,Family Issues
what scenario?,0,Other
what to cook,1,"Health, Fatigue, or Physical Pain"
what to get my husband for christmas,0,Social Relationships
what to work on,1,Work
When I caught a person talking bad about me,1,Family Issues
when i had to finish my annual report last week.,1,Work
"when i was in problem,my mobile phone help me to get relieve from this.",0,Social Relationships
when my friend freaks out on me for no good reason,1,Social Relationships
When my supervisor quit this morning. I was stressed like crazy,1,Work
where to go on aron and i's 20 year anniversary trip!,0,Other
whether or not i am going to be paid,1,Work
whether or not i put enough money in savings.,1,Financial Problem
which bot am i talking to?,0,Other
which surgeon should i go to for the surgery on my shoulder?,1,"Health, Fatigue, or Physical Pain"
who is tghis? i know no one who speaks this way?,0,Other
why are you asking about this? is something wrong? this is a little weird.,0,Other
why she stop talking to me? lv done nothing to her,1,Work
why?  is there something stressing you out?,0,Other
wishing i had more time to work to save money for a home.,1,Financial Problem
Wondering if my food stamps are gonna stretch until we get more.,1,Financial Problem
Wondering whether my projects will be permanently cancelled,1,Work
work,1,Work
Work,1,Work
"work , i have this new manager who doest know much .",1,Work
work always stresses me out; let's talk about it some more.,1,"Health, Fatigue, or Physical Pain"
Work and Bills,1,Work
work and family,1,Social Relationships
work and family balance,1,Work
work and money. it is that simple.,1,Financial Problem
work and school have been insane lately,1,Work
work and the corona-virus pandemic,1,Work
work and the wedding,1,Work
work and things at home,1,Work
work had been stressing me out because my boss might leave,1,Work
"work has bee rough, we are short staffed and busy.",1,Work
Work has been a handful lately,1,Work
work has been awful lately and I really want to quit,1,Work
work has been crazy busy and i don't feel like i have as much influence as i would like.,1,Work
"work has been crazy lately, they fired my co worker.",1,Work
work has been crazy lately.,1,Work
work has been crazy!,1,Work
work has been crazy! we have had to make some organizational changes in my department.,1,Work
work has been difficult. lots of issues with a project.,1,Work
work has been giving me a pain in teh neck with this upcoming intl night performance,1,Work
"work has been giving me fewer new leads until friday, limiting my earning capacity.",1,Work
work has been insanely busy and i am exhausted,1,Work
work has been kinda crazy lately,1,Work
work has been making me upset because of the crazy workload and lack of assistance.,1,Work
Work has been pretty crazy lately,1,Work
work has been pretty stressful.,1,Work
work has been really difficult lately.,1,Work
work has been really stressful,1,Work
Work has been really stressful lately.,1,Work
"work has been really stressful lately. so much work, so little time",1,Work
work has been really taking a toll on me lately,1,Work
work has been rough,1,Work
"work has been rough, my coworkers are not doing all of their job.",1,Work
work has been slow and that is taking a toll on the bills lately.,1,Work
work has been so bad lately,1,Work
work has been so busy and i have so many deadlines!,1,Work
work has been so busy and it's making me tired and stressed.,1,Work
work has been so crazy busy,1,Work
work has been so stressful,1,Work
Work has been so stressful because my boss expects too much.,1,Work
work has been so stressful lately. i have been the only one on the unit for 3 days now.,1,Work
work has been stressful,1,Work
"work has been stressful lately, my boss has been riding me.",1,Work
work has been stressful with a lot of stock trading.,1,Work
work has been stressful.very political always watching my back.always have my guard up.,1,Work
work has been stressing me out,1,Work
work has been stressing me out and family,1,Work
Work has been stressing me out lately due to having to deal with sick customers/,1,Work
work has been stressing me out lately.,1,Work
work has been stressing me out lately. i just don't know how to deal with the situation.,1,Work
work has been stressing me out.,1,Work
work has been stressing me out. at the deadlines for a lot of projects!,1,Work
Work has been stressing me out. I am scared I will loose my job and not work,1,Financial Problem
work has been stressing me out. i want to quit my job so badly.,1,Work
Work has been stressing me out. There is alot of drama.,1,Work
work has been super busy and i can't keep up,1,Work
Work has been super stressful,1,Work
work has been tiring me out.,1,Work
Work has been too crazy. The deadlines are too short and the pressure is high,1,Work
work has been tough lately.,1,Work
work has been very busy.,1,Work
work has been wearing on me a lot lately,1,Work
"Work has ben rough, I'm worried the corona mite come though the drive thru.",1,"Health, Fatigue, or Physical Pain"
work has me stressed out due to the schedule from the holidays,1,Work
Work has me stressed!,1,Work
work has slowed down so i am nervous about money.,1,Financial Problem
work in general and searching the real estate market.,1,Work
"work in general has been stressful, there are just a lot of pending things.",1,Work
work is a lot hectic today...i really need a break,1,"Health, Fatigue, or Physical Pain"
work is busy and i'm not getting it done on time,1,Work
work is difficult right now,1,Work
work is doing my head in,1,Work
Work is driving me crazy!,1,Work
work is driving me nuts. just a lot of last minute stuff,1,Work
Work is forcing us to work random shifts.,1,Work
work is getting me down,1,Work
Work is just being annoying rn,1,Work
work is just really hectic lately,1,Work
work is killing me,1,Work
work is killing me!,1,Work
work is really getting me down.,1,Work
work is really getting to me,1,Work
work is really getting to me.,1,Work
work is so ridiculously busy and we have little direction.,1,Work
"work is starting to pile up, and i am too easliy distracted.",1,Work
Work is straight up killing me,1,Work
work is stressful and planning for the upcoming wedding next year!,1,Work
Work is stressing me out mostly,1,Work
work is stressing me out!,1,Work
work is stressing me out.,1,Work
Work is stressing me out.,1,Work
work is very exhausting i need a break or need a vacation,1,Work
"Work is very stressful, I'm ready for the weekend!",1,Work
work is way too stressful,1,Financial Problem
Work life balance is killing me,1,Everyday Decision Making
work life has not improved only getting worse,1,Financial Problem
work of course - it's less busy but still weird,1,Work
Work pressure in my current project,1,Work
work projects and timelines,1,Work
work school life you know,1,Work
work still,1,Work
work stress,1,Work
work stress...my computer has a virus or something and is locking up. :(,1,Work
work stresses me out because i am in review for a promotion.,1,Work
work sucks! boring and not satisfying,1,Work
work sucks.. i work long hours for little pay,1,Work
"work was bullshit today, man",1,Work
Work was stressful today,1,Work
work!,1,Work
work! i have too much too do at work! help!,1,Work
work! it has me running every which way!!,1,Work
work! people don't respect each other's roles.,1,Work
work! we are short handed and so all the work gets dumped on me,1,Work
"work, can't stand these lazy kids i work with.",1,Work
"Work, dealing with this covid has been NUTS!",1,Work
"work, it has been a stressful week! hope it gets better",1,Work
"work, stupid people, money..you?",1,Financial Problem
"work, too much to do and not enough hours in the day to accomplish everything",1,Work
work.  i hate it and wish i could do something else :-/,1,Work
Work.  It makes no sense how little the boss cares for her staff.,1,Work
work. my new boss has limited technical ability.,1,Work
work. we have a huge going on,1,Work
work. work is so stressful. the principal seems to have it out for the staff.,1,Work
worked has really gotten busy and over loaded me.,1,Work
Working at home with the kids 24/7!!!,1,Other
Working from home has been driving me crazy.,1,Work
Working from home is impossible with kids,1,Work
working from home with kids currently,1,Work
working long hours with hardly any sleep,1,Work
working on the weekend,0,Work
working part time job,1,Work
working wiht our hoa to get all the documents we need.,1,Everyday Decision Making
working with patients and worrying about bringing the coronavirus home to my family,1,Work
Working with people who are sick,1,Work
works been hard for me,1,Work
"work's been pretty tough lately, the manager has been giving me a lot lately.",1,Work
work's been really hard. im not making enough,1,Work
works cutting back everyones hours its driving me crazy this time of year i need $$,1,Financial Problem
worried about being laid off from my job,1,Financial Problem
Worried about getting the family sick,1,"Health, Fatigue, or Physical Pain"
worried about my deadlines.,1,Work
worried about my folks and this virius.,1,Family Issues
worried about my granny right now,1,Family Issues
Worried about my hours being cut,1,Financial Problem
Worried about not being able to find a job after college,1,Work
worried about paying bills on time,1,Financial Problem
Worried about whether the work will hold up when things get bad.,1,Work
